,spam,msg_length,msg
1004,0,45,lt gt think say syllabus
1005,0,26,umma say anything
1006,0,37,give sec think think
1007,1,150,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd call optout
1008,0,132,quite know still get hold anyone cud pick bout pm see pub
1009,0,63,poyyarikatur kolathupalayam unjalur post erode dis lt gt
1010,0,108,dear hero leaving qatar tonite apt opportunity pls keep touch lt email gt kerala
1011,0,93,lol would mom would fit tell whole family crazy terrible
1012,0,43,got home babe still awake
1013,0,45,dunno close oredi v fan
1014,0,56,buy pizza meat lover supreme u get pick
1015,0,37,ya told asking wats matter
1016,0,124,dear regret cudnt pick call drove frm ctla cochin home left mobile car ente style ishtamayoo happy bakrid
1017,1,158,free st week nokia tone ur mob every week txt nokia get txting tell ur mate www getzed co uk pobox w wq norm p tone
1018,0,38,shall send exe mail id
1019,0,53,nope watching tv home going v bored
1020,0,31,know wait check
1021,0,224,good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougar pen
1022,1,156,guess somebody know secretly fancy wan na find give u call landline datebox essexcm xn p min
1023,0,24,still tonight
1024,0,24,may call later pls
1025,0,52,pattern recently crap weekend
1026,0,48,sore throat scratch talk
1027,0,28,yes da plm ur office
1028,0,43,around still asleep v
1029,0,49,lol forgot eh yes bring babe
1030,0,26,good find way
1031,0,58,use foreign stamp country good lecture
1032,0,17,yup bathe liao
1033,0,26,happy new year man
1034,0,127,oh mr sheffield wan na play game okay bos nanny give raise give one
1035,0,103,zoe hit im fucking shitin il defo try hardest cum morow luv u million lekdog
1036,0,157,hello baby get back mom setting computer filling belly go loverboy miss already sigh
1037,0,34,blanket sufficient thx
1038,0,128,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
1039,0,155,edison rightly said fool ask question wise man answer know u speechless viva gm gn ge gnt
1040,0,51,talking thats de wont
1041,0,60,today going college able atten class
1042,0,30,class holla later
1043,0,41,easy ah sen got selected mean good
1044,0,102,mmm thats better got roast b better drink good indian
1045,1,101,know someone know fancy call find pobox l hb p
1046,0,19,come round
1047,0,112,thing change sentence want concentrate educational career im leaving
1048,1,104,flirting txt girl bloke ur name age eg girl zoe join get chatting
1049,0,77,walked hour c u show care wont u believe im serious
1050,1,135,day euro kickoff u kept informed latest news result daily unsubscribe send get euro stop
1051,0,41,available soiree june rd
1052,0,46,u noe wat time e place dat sell close
1053,0,136,got another job one hospital data analysis something start monday sure thesis got finished
1054,0,46,jay getting really impatient belligerent
1055,0,157,hiya comin bristol st week april le got rudi new yr eve snoring drunk u bak college yet work sends ink bath
1056,0,24,work please call
1057,0,17,u drive lor
1058,0,20,ard like dat
1059,0,84,tell female v throwing deciding get
1060,1,152,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkent p
1061,0,63,working technical support voice process networking field
1062,0,155,might come kerala day prepared take leave finalise dont plan travel visit need finish urgent work
1063,0,122,ok sure time tho sure get library class try see point good eve
1064,1,143,new local date area lot new people registered area reply date start www flirtparty u reply
1065,0,50,fine bitch later
1066,0,25,mum went dentist
1067,0,44,free call sir waiting
1068,0,65,meeting u work tel shall work tomorrow
1069,1,134,someone u know asked dating service contact cant guess call revealed po box wu
1070,0,21,jus finish bathing
1071,0,47,alright make sure car back tonight
1072,1,156,urgent trying contact u today draw show prize guaranteed call land line claim c valid hr
1073,1,90,dear u invited xchat final attempt contact u txt chat
1074,0,135,lul im gettin juicy gossip hospital two nurse talking fat gettin one think shes obese oyea
1075,0,39,aight ill get fb couple minute
1076,0,83,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz
1077,0,44,download clear movie dvd copy
1078,0,28,yep pretty sculpture
1079,0,24,convey regard
1080,0,67,watching surya movie pm vijay movie pokkiri
1081,0,67,tell happen dont behave like ok need say
1082,0,33,u get pic msg phone
1083,0,24,send someone else
1084,0,119,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
1085,0,910,love start attraction feel need every time around first thing come thought would start day end every time dream love every breath name life happen around life named would cry give happiness take sorrow ready fight anyone love craziest thing love proove anyone girl beautiful lady whole planet always singing praise love start making chicken curry end makiing sambar life beautiful get every morning thank god day would like say lot tell later
1086,0,158,fr ndship like needle clock though v r clock v r nt able met evn v meet itz second bt v alwys stay conected gud
1087,0,35,think spatula hand
1088,0,24,never nothing
1089,1,152,awarded sipix digital camera call landline delivery within day c box bp yr warranty ppm p p
1090,0,53,goodmorning today late lt decimal gt min
1091,1,146,win urgent mobile number awarded prize guaranteed call land line claim valid hr ppm
1092,0,72,please da call mistake side sorry da pls da goto doctor
1093,0,19,r meeting
1094,0,188,well weather cali great complexity great need car move freely tax outrageous great place sad part missing home
1095,0,71,reached home tired come tomorro
1096,0,23,ryder unsold gibbs
1097,1,141,dear subscriber ur draw gift voucher b entered receipt correct an elvis presley birthday txt answer
1098,0,160,fret buy ovulation test strip send wont get til like march send postal address u alright okay
1099,0,73,gift trying get throw cliff something
1100,0,106,ne thing interesting good birthday u wrking nxt started uni today
1101,0,80,busy come point figure tomorrow
1102,0,105,yeah go bored depressed sittin waitin phone ring hope wind drop though scary
1103,0,42,black shirt n blue jean thk c
1104,0,68,aiyah sorry lor watch tv watch forgot check phone
1105,1,159,message important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting
1106,0,32,hen night going swing
1107,0,159,good afternoon love go day woke early online waiting hmmm italian boy online see grin
1108,0,140,someone smoke every time smoked last two week calling texting wanted smoke
1109,0,101,get headache trying figure u trust math promise
1110,0,31,first time dhoni rock
1111,0,23,ok ill tell company
1112,0,58,awesome think get th usf time tonight
1113,0,37,mean still think teju
1114,0,61,good movie ok leave hourish
1115,0,60,kallis home ground amla home town durban
1116,0,54,let make saturday monday per convenience
1117,0,69,hey time driving fri go evaluation fri
1118,1,69,price claim call
1119,0,72,going lunch wif family aft dat go str orchard lor
1120,1,156,bored speed dating try speedchat txt speedchat like em txt swap get new chatter chat pobox w wq p msg rcd
1121,0,40,cancel cheyyamo get money back
1122,1,153,want anytime network min text new video phone five pound per week call reply delivery tomorrow
1123,0,36,ok ok ok whats ur today plan
1124,0,35,good morning princess
1125,0,34,aiyar sorry lor forgot tell u
1126,1,156,taking part mobile survey yesterday text use however wish get txts send txt c www txt com p
1127,0,79,tonight mate catching sleep new number way
1128,0,121,height oh shit situation guy throw luv letter gal fall brother head who gay
1129,1,104,ur hmv quiz cash balance currently maximize ur cash send hmv p msg
1130,0,64,check error difficulty correction
1131,0,25,howz pain hope u r fine
1132,0,22,sorry call later
1133,0,35,good morning princess
1134,0,156,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
1135,0,58,u wake already thanx e tau sar piah quite nice
1136,0,31,k need login anything
1137,1,120,dont forget place many free request stchoice co uk wish information call
1138,0,24,lol busy
1139,0,17,u wearing
1140,0,152,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
1141,0,41,oh usual vijay film different
1142,1,158,know u u know send chat let find p msg rcvd hg suite land row w j hl ldn year
1143,0,80,good day mine really busy much tomorrow night
1144,0,85,way send shade stuff wonderful
1145,0,115,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study
1146,1,115,thank winner notified sm good luck future marketing reply stop customer service
1147,0,25,babe lost
1148,0,45,ok help ask working tmr
1149,0,70,driving raining get caught e mrt station lor
1150,0,22,drop tank
1151,0,43,said text one time
1152,0,22,sorry call later
1153,0,22,ok go change also
1154,1,139,girl many local u r virgin r ready fil ur every sexual need u fil text cute p
1155,0,72,u find sitter kaitlyn sick slept day yesterday
1156,0,91,sorry man accidentally left phone silent last night check til got
1157,0,70,hey something came last min think wun signing tmr hee
1158,0,140,adult would learn experience real danger dont like peep using drug dont need comment
1159,0,31,hey veggie pizza
1160,0,52,yun buying school got offer plus
1161,0,40,sure neighbor didnt pick
1162,0,23,k sent
1163,1,155,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
1164,0,145,new theory argument win situation loses person dont argue ur friend kick amp say always correct
1165,0,54,well im computerless time make oreo truffle
1166,0,43,haha yeah see sec
1167,0,30,number sir
1168,0,39,lol hot air balloon
1169,0,71,ok bus come soon come otherwise tomorrow
1170,0,146,msg r time pas silently say thinking u right also making u think least moment gd nt swt drms shesil
1171,0,73,yeah probably swing roommate finish girl
1172,1,159,got take take part wrc rally oz u lucozade energy text rally le p see pack lucozade co uk wrc itcould u
1173,0,23,happy new year melody
1174,0,25,dun need pick ur gf
1175,0,59,yay better told girl either
1176,0,150,horrible u eat mac eat u forgot abt already rite u take long reply thk toot b b prepared wat shall eat
1177,0,167,say fantastic chance anything need bigger life lift losing live think would first person die n v q
1178,0,26,nw came hme da
1179,0,66,outside island head towards hard rock run
1180,0,35,day class class
1181,0,26,chennai velachery
1182,0,26,flippin shit yet
1183,0,49,k give sec breaking lt gt cstore
1184,0,38,much bad avoid like
1185,0,36,yo around got car back
1186,0,18,annoying
1187,0,48,goodmorning today late lt gt min
1188,0,68,point hangin mr right makin u happy
1189,0,73,come alive better correct good looking figure
1190,0,49,case guess see campus lodge
1191,0,13,done
1192,0,63,come home one last time wont anything trust
1193,0,133,night worrying appt shame missed girl night quiz popcorn hair
1194,1,154,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabe co uk pic wk
1195,0,13,ok c ya
1196,1,49,new voicemail please call
1197,0,74,said matter mind saying matter
1198,0,48,also know lunch menu da know
1199,0,138,al moan n e thin go wrong fault al de argument r fault fed himso bother hav go thanx xx
1200,0,164,neft transaction reference number lt gt r lt decimal gt credited beneficiary account lt gt lt time gt lt gt
1201,0,40,otherwise part time job na tuition
1202,0,20,know called
1203,0,61,also da feel yesterday night wait til day night dear
1204,0,61,thanks understanding trying tell sura
1205,1,145,win year supply cd store ur choice worth enter weekly draw txt music t c www ldew com sub win ppmx
1206,0,130,whole car appreciated last two dad map reading semi argument apart thing going ok p
1207,1,148,sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr
1208,0,37,need strong arm
1209,0,31,also maaaan missing
1210,0,27,bday real april
1211,0,41,guessin gon na
1212,0,49,ok come ur home half hour
1213,0,52,yo game almost want go walmart soon
1214,0,124,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well
1215,0,63,text creepy like think forgot
1216,0,83,would good phone tomo lunchtime shall organise something
1217,1,50,new voicemail please call
1218,0,70,damn make tonight want wait til tomorrow
1219,0,55,k k also fine complete course
1220,0,119,true passable get high score apply phd get year salary make life easier
1221,1,143,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend p tone reply hl info
1222,0,22,prakesh know
1223,0,43,teach apps da come college
1224,0,46,rofl betta invest anti aging product
1225,1,145,winner u specially selected receive cash holiday flight inc speak live operator claim
1226,0,75,sir receive account another hr time sorry delay
1227,1,159,reply name address receive post week completely free accommodation various global location www phb com ph p
1228,0,42,submitting da project tmr rite
1229,1,122,free entry weekly comp send word enter c www textcomp com cust care
1230,0,31,jus an lar u noe later
1231,0,76,want send something sell fast lt gt k easy money
1232,0,51,got thing may pub later
1233,0,27,finish meeting call
1234,0,34,lol ok snatch purse
1235,0,125,hello drivby quit edrunk sorry iff pthis make senrd dnot dancce drum n basq ihave fun nhite x ro xxxxxxx
1236,0,136,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
1237,0,24,much getting
1238,0,33,ur paper e morn aft tmr
1239,0,63,dear relieved westonzoyland going plan end
1240,0,96,hope great new semester wish best made greatness
1241,0,53,oh yes speak txt u hmm u get email
1242,0,59,want show world princess europe
1243,0,52,nobody decide eat dad want chinese
1244,0,45,shoot doc waiting room
1245,0,34,going dinner soon
1246,0,53,hello site download song urgent pls
1247,0,111,know u mean king havin credit goin bed night night sweet sleep
1248,0,60,horrible gal sch stuff come u got mc
1249,0,152,hi hun im comin nite tell every im sorry hope u ava goodtime oli rang melnite ifink mite b sorted il explain everythin mon l r x
1250,0,55,call later network urgnt sm
1251,0,84,ummmmmaah many many happy return day dear sweet heart happy birthday dear
1252,1,81,please call immediately urgent message waiting
1253,0,87,yeah like go like friend imma flip shit like half hour
1254,0,84,mum say wan go go shun bian watch da glass exhibition
1255,0,26,plan pongal
1256,0,58,wait till end march el nino get oh
1257,0,46,yet chikku going room nw bus
1258,0,43,also cbe pay
1259,0,24,honey boo missing u
1260,0,97,sent jd customer service cum account executive ur mail id detail contact u
1261,0,70,yo parent gettin cash good news picked downstem
1262,0,179,thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy
1263,1,120,hungry gay guy feeling hungry call p min stop text call p min
1264,0,54,ok wahala remember friend need
1265,0,26,see half hour
1266,0,154,im inperialmusic listening weirdest track ever leafcutter john sound like insect molested someone plumbing remixed evil men acid
1267,0,123,hey sorry didntgive ya bellearlier hunny bedbut mite go thepub l tr uwana mt load luv jenxxx
1268,0,48,seriously tell exact word right
1269,1,146,u get phone wan na chat set meet call u cum moro luv jane xx call minmoremobsemspobox po wa
1270,0,40,tee hee lecture cheery bye bye
1271,0,81,sorry chikku cell got problem thts nt able reply u msg u
1272,0,116,still havent collected dough pls let know go place sent get control number
1273,0,5,ok
1274,1,66,network operator service free c visit biz
1275,0,81,let know contact settled room let know ok
1276,0,20,wot u u weirdo
1277,0,13,lor
1278,0,37,dont put phone silent mode ok
1279,0,64,meet depends wan lor
1280,0,69,waiting tv show start lor u leh still busy ur report
1281,0,55,oh ho first time u use type word
1282,0,45,one stalk profile
1283,0,159,ever green quote ever told jerry cartoon person irritates u always one love u vry much fails express gud nyt
1284,0,25,yes thought thanks
1285,0,28,drinkin ok
1286,0,40,wondering others took
1287,0,156,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay gud mrng
1288,0,138,dog must always wait till end day word run time cell already
1289,0,24,happy new year u
1290,0,70,hey great deal farm tour pm pax deposit may
1291,0,61,eat jap done oso aft ur lect wat got lect rite
1292,0,86,hey babe saw came online second disappeared happened
1293,0,174,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wish
1294,0,48,happy birthday may ur dream come true
1295,0,48,aiyah u ok already lar e nydc wheellock
1296,0,25,tell said eat shit
1297,0,54,sure driving reach destination soon
1298,0,38,k much th fifty
1299,0,44,daily text favour time
1300,0,64,great hear settling well happenin wit ola
1301,0,133,cocksucker make feel better ipads worthless garbage novelty item feel bad even wanting one
1302,0,36,tot u reach liao said shirt
1303,0,132,fran decided go n e way im completely broke knackered got bout c u mrw love janx p dad fone credit
1304,0,51,cant pick phone right pls send message
1305,0,48,right make appointment right
1306,0,62,designation software developer may get chennai
1307,1,163,enjoy jamster videosound gold club credit new videosounds logo musicnews get fun jamster co uk help call
1308,1,155,get lion england tone reply lionm mono lionp poly go www ringtones co uk original n best tone gbp network operator rate apply
1309,0,46,jokin oni lar busy wun disturb
1310,0,39,ok careful text drive
1311,0,103,always even spirit get bb soon trying sure need
1312,0,83,u r much close heart u go away shattered plz stay
1313,0,84,love u babe r u sure everything alrite idiot txt bak girlie
1314,0,39,abt making pic bigger
1315,0,122,got got colour lor one colour quite light n e darker lor actually done styling hair
1316,0,154,whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say jus walk wid little amp promise bring back ur smile
1317,0,36,nothing ok anyway give treat
1318,1,138,win newest harry potter order phoenix book reply harry answer question chance first among reader
1319,0,5,ok
1320,0,30,correct work today
1321,0,57,sent scream moan bed princess
1322,0,54,wake long ago already dunno thing
1323,0,34,oh getting even u u
1324,0,84,thk shd ok said plus minus leave line paragraph
1325,0,139,call plz number show coveragd area urgnt call vasai amp reach clock call plz
1326,0,35,yeah jay sort fucking retard
1327,0,31,sorry bathroom sup
1328,1,125,ur balance ur next question sang uptown girl answer txt ur answer good luck
1329,0,48,exam february wish great day
1330,0,94,dont know come ask question like dont mistake
1331,0,27,aight rush ask jay
1332,0,28,good morning plz call sir
1333,0,41,ok lar u sleep early nite
1334,0,42,oh icic k lor den meet day
1335,0,150,oh half hour much longer syria canada eh wow must get much work done day u extra time grin
1336,0,162,sometimes put wall around heart safe getting hurt find care enough break wall amp get closer goodnoon
1337,0,82,sweet may may go u meet carlos gauge patty interest
1338,0,44,buying today need c meh
1339,0,56,aight sorry take ten year shower plan
1340,0,41,every monday nxt week vl completing
1341,0,23,might ax well im
1342,0,112,chill another hr could sleep pain surgical emergency see unfolds okay
1343,0,38,yeah try scrounge something
1344,0,159,crazy ar married like gd looking guy frens like say korean leona fave dun thk aft thinking mayb prob go
1345,0,32,somewhere fredericksburg
1346,0,47,que pas un buen tiempo something like
1347,0,82,ok stay night xavier sleeping bag getting tired
1348,0,25,doesnt need test
1349,0,51,nothing much chillin home super bowl plan
1350,1,154,free day sexy st george day pic jordan txt pic dont miss every wk saucy celeb pic c pocketbabe co uk wk
1351,0,22,bugis oso near wat
1352,0,30,yo there class tmrw right
1353,0,121,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world gnun sent via way sm com
1354,0,53,goodnight sleep well da please take care pa please
1355,0,84,baaaaabe miss youuuuu go teach class
1356,0,24,convey regard
1357,0,81,u ned convince tht possible witot hurting feeling main
1358,0,152,good afternoon loverboy go day luck come way think sweetie send love across sea make smile happy
1359,0,131,start sending blackberry torch nigeria find buyer like month tell dad buy bb anyone oh
1360,0,327,lt gt pple marry lover becz hav gud undrstndng dat avoids problem sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt min whn u read
1361,0,49,yo dude guess got arrested day
1362,0,65,shuhui say change suntec steamboat u noe r u
1363,0,29,dance river
1364,0,207,yetunde sorry moji seem busy able go shopping please find way get wanted u get please forgive reply free via yahoo messenger
1365,0,114,hey really pretty late want go lesson first join reaching tp mrt
1366,1,101,hot live fantasy call p per min ntt ltd po box croydon cr wb k
1367,0,49,bbq sat mine ish ur welcome come
1368,0,106,know thing wrong everyso often panicks start goin bout bein good enough
1369,0,36,alright good night
1370,0,32,try making another butt
1371,0,50,hope feeling great pls fill abiola
1372,0,78,though shd go n fun bar town something sound ok
1373,0,141,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interesting
1374,1,151,bear pic nick tom pete dick fact type try gay chat photo upload call p min stop text call
1375,1,153,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg txtauction
1376,0,23,finally ready fyi
1377,0,40,auntie huai juan never pick phone
1378,1,159,double min double txt price linerental latest orange bluetooth mobile call mobileupd latest offer call optout lf
1379,0,25,ya tel wats ur problem
1380,1,143,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend p tone reply hl info
1381,0,22,dnt wnt tlk wid u
1382,0,153,spend day waiting ideal path appear front u forget path made walking waiting goodnight
1383,0,72,ok arm feeling weak cuz got shot go another time
1384,0,203,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
1385,0,324,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h
1386,0,115,ok popped ask bout something said around tonght wen girl come
1387,0,27,e best ur exam later
1388,0,139,hope ur head hurt much ploughing way pile ironing staying chinky tonight come round like
1389,0,46,oh k think wi nz player unsold
1390,0,115,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
1391,0,155,wonder got online love gone net cafe get phone recharged friend net think boytoy
1392,0,35,haha kidding papa need drug
1393,0,82,thk shld b ya wana go lesson haha go one whole stretch
1394,0,7,oh ok
1395,0,36,r still meeting dinner tonight
1396,0,73,thats cool gentleman treat dignity respect
1397,0,24,shall start hear
1398,0,49,wait u lor need feel bad lar
1399,0,48,check got detailed message
1400,0,155,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
1401,0,93,decided people care stuff vote caring stuff loser
1402,0,99,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u
1403,0,155,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
1404,0,48,cool fun practicing making baby
1405,0,42,actually getting ready leave house
1406,0,24,k k special today
1407,1,163,urgent important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting
1408,0,30,got ta
1409,0,44,got ten buck jay noncomittal
1410,0,24,hungry
1411,0,34,pls speak customer machan
1412,0,144,somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream
1413,0,179,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1414,1,143,dear u invited xchat final attempt contact u txt chat p msgrcvdhg suite land row w j hl ldn yr
1415,0,52,wats ur opinion abt abt character
1416,0,82,jay snickering tell x totally fucking chord speak
1417,0,39,hour went hair cut
1418,0,80,wonder co dun rem seeing silver car thk saw black one
1419,0,35,lmao take pic send
1420,0,78,speak feel word better silence gud mrng
1421,0,41,currently scotland
1422,0,27,work week
1423,1,150,congratulation ur awarded either cd gift voucher free entry weekly draw txt music tncs www ldew com win ppmx age
1424,0,32,lol great im getting hungry
1425,0,33,yes saw message
1426,0,41,mu like lt gt second
1427,0,5,ok
1428,0,126,thing r good thanx got exam march ive done revision fran still boyf ive got ta interviw exeter bit worried x
1429,0,166,tell make little spreadsheet track whose idea smoke determine smoke much entire month february come
1430,1,71,sale arsenal dartboard good condition double treble
1431,0,141,look back building coat want get sick hurry home wear coat gym
1432,0,122,painful personal thought always try keep everybody happy time nobody recognises alone
1433,0,38,thanks lovely wisheds rock
1434,0,63,intrepid duo great time see soon
1435,0,47,asked sen come chennai search job
1436,0,22,dad went oredi
1437,0,115,jus hope true missin co really missin done anything feel guilty yet
1438,0,71,wat late still early mah juz go dinner lor aiya dunno
1439,0,34,arm fine cardiff uni
1440,0,72,fact leave think addie go back school tues wed
1441,0,132,cool breeze bright sun fresh flower twittering bird waiting wish u goodmorning amp nice day
1442,0,26,ya going restaurant
1443,0,38,ok askd u knw tht
1444,1,140,free st week entry textpod chance win gb ipod cash every wk txt pod t c www textpod net custcare
1445,0,25,ducking chinchilla
1446,0,27,marriage function
1447,0,159,look like u wil b getting headstart im leaving bout ish u r desperate company could head earlier goin meet rummer
1448,0,103,give flying monkey wot think certainly mind friend mine
1449,1,141,registered optin subscriber ur draw gift voucher entered receipt correct an whats bbc chart
1450,0,13,say thanks
1451,0,25,msg rajini come
1452,0,64,ya taking ure practical lesson start june
1453,0,33,good need drug
1454,0,23,stupid possible
1455,0,52,decide faster co si going home liao
1456,1,159,summer finally fancy chat flirt sexy single yr area get matched reply summer free join optout txt stop help
1457,0,104,u sleeping going take haha got spy wat online checking n replying mail lor
1458,1,153,claire havin borin time alone u wan na cum nite chat hope c u luv claire xx call minmoremobsemspobox po wa
1459,0,149,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
1460,1,81,bought one ringtone getting text costing pound offering tone etc
1461,0,144,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae lyf nt yet ovr chikku ali vargu lyfu meow meow
1462,0,51,kinda first one get twelve aah speak tomo
1463,1,152,urgent mobile xxxxxxxxx bonus caller prize nd attempt reach call asap
1464,0,111,ok good later come find c lucky told go earlier later pple take finish
1465,0,131,wat make u thk fall actually thk quite prone fall lucky dad home ask come n fetch already
1466,1,158,guaranteed latest nokia phone gb ipod mp player prize txt word collect tc llc ny usa p mt msgrcvd
1467,0,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
1468,0,42,wont touch permission
1469,1,160,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x call minmobsmorelkpobox hp fl
1470,0,151,wonder world th th ur style th ur smile th ur personality rd ur nature nd ur sm st ur lovely friendship good morning dear
1471,0,37,take small dose tablet fever
1472,0,61,oh u must taken real valentine shopping first
1473,0,72,sent email address incomm right
1474,0,93,gon na blake night might able get little early
1475,0,141,friendship game play word say start march end may tomorrow yesterday today e
1476,0,85,nice wait texting right gon na pay ticket ya know
1477,0,78,watching lotr w si dis aft u wan meet dinner nite
1478,0,33,keeping away like
1479,0,90,think far find check google map place dorm
1480,0,147,trip ok quite tiring lor uni start today ok co taking module jus concentrating final yr project
1481,0,33,always saying welp
1482,0,32,guy browsin compulsory
1483,0,5,ok
1484,0,149,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
1485,0,22,sorry call later
1486,0,132,add really care least get dude fuck hey money want
1487,0,154,hello lover go new job happy think wake slave send teasing kiss across sea
1488,0,31,told number gautham
1489,0,51,tell need investigate anywhere
1490,0,18,ok juz receive
1491,0,172,cant believe said many thing morning really wanted say good morning love beautiful morning see library later
1492,1,130,account credited free text message activate txt word credit c www biz
1493,0,76,end might still vomit okay everything come
1494,0,78,money money aint thing sha
1495,0,112,everything weather keep extra warm cold nothing serious pls lot vitamin c
1496,0,58,hey gal anyone u going e driving centre tmr
1497,0,158,always yahoo messenger send message get may send mobile mode sha get reply
1498,0,60,putting ready lt time gt
1499,0,154,time n smile r two crucial thing life sometimes time make u forget smile sometimes someone smile make u forget time gud noon
1500,1,154,sm ac jsco energy high u may know channel day ur leadership skill r strong psychic reply an w question end reply end jsco
1501,0,34,host based idp linux system
1502,1,122,hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
1503,0,26,da whats plan
1504,0,31,ill lt gt ok
1505,0,26,oh god almost home
1506,0,64,total video converter free download type google search
1507,1,121,thanks vote sing along star karaoke mobile free link reply sing
1508,0,179,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1509,0,56,sound like something someone testing would sayy
1510,0,148,u love someone dont make love u much u love much dont want loved anyone except gud nit
1511,0,90,pete phone still jenny college leanne
1512,0,110,oops sorry check mind picking tomo half eight station would ok
1513,0,458,hey sweet wondering moment might come want send file someone go yahoo connection suck remember set page go download format disc could tell know way download big file download stuff directly internet help would great prey teasing kiss
1514,0,36,hows champ leaving glasgow
1515,0,28,k best congrats
1516,0,33,wonder get text
1517,0,51,need come home give good lovin
1518,1,157,brand new mobile music service live free music player arrive shortly install phone browse content top artist
1519,0,45,shall ask one thing dont mistake
1520,0,37,check wid corect speling e sarcasm
1521,1,158,urgent mobile awarded bonus caller prize nd attempt contact call box qu bt national rate
1522,0,39,angry happen dear
1523,0,96,thk u dun haf hint e forum already lor co told ron n darren going tell shuhui
1524,0,15,yup ok thanx
1525,0,29,hi ct employee
1526,0,32,pls pls find aunt nike
1527,0,152,wow love sooo much know barely stand wonder day go well love think miss
1528,0,29,screaming mean shouting
1529,0,36,hey happen de alright
1530,0,54,picked receipt something earlier
1531,0,29,think chennai well settled
1532,0,47,oh dang mean send lol
1533,0,172,unfortunately found pick sister airport evening think going try go one th
1534,0,32,horrible bf v hungry
1535,0,22,remember day
1536,1,150,nokia get win free auction take part send nokia hg suite land row w jhl
1537,0,91,feel mr real valentine yo valentine even tho u hardly play
1538,0,53,sound good finger make difficult type
1539,0,24,midnight earliest
1540,0,121,sure trying make xavier smoke want smoke told smoke much
1541,0,36,k come nordstrom done
1542,0,212,u konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dream
1543,0,25,press conference da
1544,1,156,hello orange month free access game news sport plus free text photo message reply yes term apply www orange co uk ow
1545,0,59,completed degree use joining finance
1546,0,155,good afternoon love job prospect missing lazy bleak hmmm happy filled love
1547,0,37,shant disturb u anymore jia
1548,0,79,bishan lar nearer need buy early co buy got ta park car
1549,0,24,dont know oh
1550,0,50,dude sux snake got old raiden got buff
1551,0,75,say hi get as back south tampa preferably kegger
1552,0,41,e msg jus u said thanks gift
1553,0,8,u
1554,0,36,ok dear call chechi
1555,0,31,yeah tote u wan na
1556,0,73,ok found dis pierre cardin one look normal cost sale
1557,0,127,good sleep rhythm person establish rhythm body learn use want know
1558,0,14,wat r u
